Binary,Octal,Decimal,Hex,Display,Unicode,Slang
0b01011011,0o133,91,0x5b,[,LEFT SQUARE BRACKET,Bracket / Bra / Square
0b01011100,0o134,92,0x5c,\,REVERSE SOLIDUS,Backslash / Bash / Backslant / Backwhack / Backslat / Literal / Escape
0b01011101,0o135,93,0x5d,],RIGHT SQUARE BRACKET,Unbracket / Ket / Unsquare
0b01011110,0o136,94,0x5e,^,CIRCUMFLEX ACCENT,Circumflex / Caret / Uparrow / Hat / Control / Boink / Chevron / Hiccup / Sharkfin / Fang
0b01011111,0o137,95,0x5f,_,LOW LINE,Underscore / Underline / Underbar / Under / Score / Backarrow / Flatworm
0b01100000,0o140,96,0x60,`,GRAVE ACCENT,Grave / Backquote / Left Quote / Open Quote / Backprime / Unapostrophe / Backspark / Birk / Blugle / Back Tick / Push
0b01100001,0o141,97,0x61,a,LATIN SMALL LETTER A,
0b01100010,0o142,98,0x62,b,LATIN SMALL LETTER B,
0b01100011,0o143,99,0x63,c,LATIN SMALL LETTER C,
0b01100100,0o144,100,0x64,d,LATIN SMALL LETTER D,
0b01100101,0o145,101,0x65,e,LATIN SMALL LETTER E,
0b01100110,0o146,102,0x66,f,LATIN SMALL LETTER F,
0b01100111,0o147,103,0x67,g,LATIN SMALL LETTER G,
0b01101000,0o150,104,0x68,h,LATIN SMALL LETTER H,
0b01101001,0o151,105,0x69,i,LATIN SMALL LETTER I,
0b01101010,0o152,106,0x6a,j,LATIN SMALL LETTER J,
0b01101011,0o153,107,0x6b,k,LATIN SMALL LETTER K,
0b01101100,0o154,108,0x6c,l,LATIN SMALL LETTER L,
0b01101101,0o155,109,0x6d,m,LATIN SMALL LETTER M,
0b01101110,0o156,110,0x6e,n,LATIN SMALL LETTER N,
0b01101111,0o157,111,0x6f,o,LATIN SMALL LETTER O,
0b01110000,0o160,112,0x70,p,LATIN SMALL LETTER P,
0b01110001,0o161,113,0x71,q,LATIN SMALL LETTER Q,
0b01110010,0o162,114,0x72,r,LATIN SMALL LETTER R,
0b01110011,0o163,115,0x73,s,LATIN SMALL LETTER S,
0b01110100,0o164,116,0x74,t,LATIN SMALL LETTER T,
0b01110101,0o165,117,0x75,u,LATIN SMALL LETTER U,
0b01110110,0o166,118,0x76,v,LATIN SMALL LETTER V,
0b01110111,0o167,119,0x77,w,LATIN SMALL LETTER W,
0b01111000,0o170,120,0x78,x,LATIN SMALL LETTER X,
0b01111001,0o171,121,0x79,y,LATIN SMALL LETTER Y,
0b01111010,0o172,122,0x7a,z,LATIN SMALL LETTER Z,
0b01111011,0o173,123,0x7b,{,LEFT CURLY BRACKET,Left Brace / Brace / Open Brace / Curly / Leftit / Embrace
0b01111100,0o174,124,0x7c,|,VERTICAL LINE,Pipe / Bar / Or / V-Bar / Spike / Gozinta / Thru
0b01111101,0o175,125,0x7d,},RIGHT CURLY BRACKET,Right Brace / Unbrace / Close Brace / Uncurly / Rytit / Bracelet
0b01111110,0o176,126,0x7e,~,TILDE,Tilde / Swung Dash / Squiggle / Approx / Wiggle / Twiddle / Enyay
0b01111111,0o177,127,0x7f,^?,,
